Validity_date,City,Persist_value_humidity,EC_humidity_1,EC_humidity_2,C3_humidity_1,C3_humidity_2
02/01/2016,Afula,73,60,52,37,35
02/01/2016,Ashdod,82,64,61,46,44
02/01/2016,Beer Sheva,86,75,77,42,39
02/01/2016,Bet Shean,80,68,62,38,34
02/01/2016,Elat,40,42,40,27,26
02/01/2016,En Gedi,52,62,62,40,39
02/01/2016,Haifa,77,60,57,45,46
02/01/2016,Jerusalem,93,71,64,43,41
02/01/2016,Lod,69,62,57,38,38
02/01/2016,Mizpe Ramon,59,63,60,39,41
02/01/2016,Nazareth,80,64,67,33,35
02/01/2016,Qazrin,84,60,65,44,36
02/01/2016,Tel Aviv,77,59,58,38,42
02/01/2016,Tiberias,56,55,58,38,34
02/01/2016,Zefat,98,59,65,46,44
03/01/2016,Afula,70,78,68,49,51
03/01/2016,Ashdod,73,67,61,54,51
03/01/2016,Beer Sheva,84,58,53,33,35
03/01/2016,Bet Shean,82,63,58,41,39
03/01/2016,Elat,35,36,31,30,24
03/01/2016,En Gedi,57,58,51,39,42
03/01/2016,Haifa,67,88,86,89,71
03/01/2016,Jerusalem,92,71,69,62,63
03/01/2016,Lod,79,66,62,44,48
03/01/2016,Mizpe Ramon,67,52,47,39,45
03/01/2016,Nazareth,63,97,92,75,70
03/01/2016,Qazrin,90,83,91,71,61
03/01/2016,Tel Aviv,64,75,73,59,47
03/01/2016,Tiberias,73,80,79,67,57
03/01/2016,Zefat,88,93,90,83,80
04/01/2016,Afula,82,63,74,66,58
04/01/2016,Ashdod,78,64,65,60,60
04/01/2016,Beer Sheva,54,59,59,44,44
04/01/2016,Bet Shean,68,61,63,47,44
04/01/2016,Elat,26,38,39,32,33
04/01/2016,En Gedi,31,61,61,49,45
04/01/2016,Haifa,90,75,81,69,70
04/01/2016,Jerusalem,77,61,63,61,59
04/01/2016,Lod,73,62,62,48,48
04/01/2016,Mizpe Ramon,52,48,58,51,49
04/01/2016,Nazareth,97,90,96,68,68
04/01/2016,Qazrin,84,75,87,78,75
04/01/2016,Tel Aviv,93,64,65,53,54
04/01/2016,Tiberias,84,75,79,66,69
04/01/2016,Zefat,99,83,89,80,82
05/01/2016,Afula,84,43,48,57,49
05/01/2016,Ashdod,68,48,53,53,55
05/01/2016,Beer Sheva,50,43,43,31,32
05/01/2016,Bet Shean,80,43,44,44,42
05/01/2016,Elat,34,27,27,32,32
05/01/2016,En Gedi,41,53,52,41,41
05/01/2016,Haifa,71,59,61,68,69
05/01/2016,Jerusalem,77,50,50,42,43
05/01/2016,Lod,62,43,43,37,37
05/01/2016,Mizpe Ramon,49,36,36,36,36
05/01/2016,Nazareth,87,65,65,72,65
05/01/2016,Qazrin,73,50,57,73,69
05/01/2016,Tel Aviv,62,50,50,47,50
05/01/2016,Tiberias,61,53,55,66,66
05/01/2016,Zefat,99,58,59,80,77
06/01/2016,Afula,56,46,42,46,45
06/01/2016,Ashdod,56,50,50,51,50
06/01/2016,Beer Sheva,36,39,38,25,25
06/01/2016,Bet Shean,43,44,42,45,47
06/01/2016,Elat,27,22,22,22,24
06/01/2016,En Gedi,27,46,47,43,38
06/01/2016,Haifa,63,57,59,52,51
06/01/2016,Jerusalem,50,46,44,33,43
06/01/2016,Lod,44,41,39,33,30
06/01/2016,Mizpe Ramon,36,30,30,30,31
06/01/2016,Nazareth,70,57,58,49,49
06/01/2016,Qazrin,65,52,54,61,63
06/01/2016,Tel Aviv,49,44,45,44,43
06/01/2016,Tiberias,60,51,52,50,55
06/01/2016,Zefat,95,54,55,58,59
07/01/2016,Afula,49,50,48,41,40
07/01/2016,Ashdod,52,62,58,51,52
07/01/2016,Beer Sheva,30,39,43,17,18
07/01/2016,Bet Shean,39,47,47,43,41
07/01/2016,Elat,21,30,28,30,24
07/01/2016,En Gedi,32,51,51,47,42
07/01/2016,Haifa,57,58,57,41,44
07/01/2016,Jerusalem,39,44,46,31,34
07/01/2016,Lod,36,41,40,26,25
07/01/2016,Mizpe Ramon,31,20,30,17,19
07/01/2016,Nazareth,51,47,47,45,45
07/01/2016,Qazrin,46,46,46,45,44
07/01/2016,Tel Aviv,43,49,46,36,46
07/01/2016,Tiberias,52,47,46,51,46
07/01/2016,Zefat,67,45,45,53,53
08/01/2016,Afula,62,89,92,84,78
08/01/2016,Ashdod,61,77,83,77,75
08/01/2016,Beer Sheva,30,62,56,49,51
08/01/2016,Bet Shean,61,87,82,65,61
08/01/2016,Elat,33,38,36,33,37
08/01/2016,En Gedi,44,60,61,43,45
08/01/2016,Haifa,47,80,82,83,96
08/01/2016,Jerusalem,42,81,81,69,84
08/01/2016,Lod,40,83,89,70,78
08/01/2016,Mizpe Ramon,19,49,51,53,45
08/01/2016,Nazareth,49,92,91,57,82
08/01/2016,Qazrin,55,92,87,89,90
08/01/2016,Tel Aviv,44,87,86,77,83
08/01/2016,Tiberias,49,91,89,89,79
08/01/2016,Zefat,57,91,89,89,77
09/01/2016,Afula,90,57,64,37,39
09/01/2016,Ashdod,80,54,53,54,50
09/01/2016,Beer Sheva,50,55,53,44,40
09/01/2016,Bet Shean,87,54,67,45,38
09/01/2016,Elat,32,42,43,31,38
09/01/2016,En Gedi,33,73,75,32,41
09/01/2016,Haifa,92,65,69,47,52
09/01/2016,Jerusalem,74,59,61,44,40
09/01/2016,Lod,66,55,52,37,36
09/01/2016,Mizpe Ramon,53,61,60,45,42
