Validity_date,City,Persist_value_maxTemp,EC_maxTemp_1,EC_maxTemp_2,CO_maxTemp_1,CO_maxTemp_2,C3_maxTemp_1,C3_maxTemp_2,OH_maxTemp_1,OH_maxTemp_2
02/01/2016,Afula,12,11,12,11,12,12,12,13,13
02/01/2016,Ashdod,15,14,13,12,13,14,14,14,14
02/01/2016,Beer Sheva,10,10,10,11,10,12,12,9,9
02/01/2016,Bet Shean,15,11,12,14,14,14,14,13,13
02/01/2016,Elat,19,12,12,14,14,15,15,13,12
02/01/2016,En Gedi,17,13,13,13,14,15,15,15,14
02/01/2016,Haifa,10,11,11,11,11,11,11,10,10
02/01/2016,Jerusalem,5,8,8,8,7,8,8,7,8
02/01/2016,Lod,13,12,12,10,10,13,13,10,10
02/01/2016,Mizpe Ramon,8,7,7,9,9,9,9,8,7
02/01/2016,Nazareth,8,9,10,9,9,11,11,7,6
02/01/2016,Qazrin,8,8,9,9,10,9,9,7,6
02/01/2016,Tel Aviv,13,13,13,10,10,13,13,10,13
02/01/2016,Tiberias,14,10,11,12,13,14,15,7,6
02/01/2016,Zefat,3,8,9,8,8,6,6,7,6
03/01/2016,Afula,11,11,12,11,12,14,13,13,14
03/01/2016,Ashdod,15,16,16,15,14,16,16,17,17
03/01/2016,Beer Sheva,10,14,13,12,13,14,14,15,14
03/01/2016,Bet Shean,12,13,13,11,12,14,14,14,15
03/01/2016,Elat,17,17,16,17,17,18,17,16,16
03/01/2016,En Gedi,16,15,16,17,17,17,17,18,18
03/01/2016,Haifa,10,14,13,11,11,13,12,14,13
03/01/2016,Jerusalem,5,10,11,9,9,8,8,10,10
03/01/2016,Lod,13,13,13,12,12,14,13,11,12
03/01/2016,Mizpe Ramon,8,12,11,12,12,13,12,12,12
03/01/2016,Nazareth,9,8,10,7,8,9,9,8,9
03/01/2016,Qazrin,8,9,9,8,8,8,9,8,8
03/01/2016,Tel Aviv,14,14,14,12,13,14,13,16,16
03/01/2016,Tiberias,13,10,10,9,10,13,15,8,9
03/01/2016,Zefat,3,8,8,6,7,7,6,8,8
04/01/2016,Afula,15,14,14,16,16,14,16,17,14
04/01/2016,Ashdod,17,18,17,16,16,17,17,17,17
04/01/2016,Beer Sheva,15,16,15,15,16,17,17,16,16
04/01/2016,Bet Shean,13,16,16,15,16,17,18,18,18
04/01/2016,Elat,22,18,18,19,20,20,20,17,17
04/01/2016,En Gedi,22,17,17,18,19,18,18,19,19
04/01/2016,Haifa,13,15,14,14,15,15,15,14,15
04/01/2016,Jerusalem,9,13,13,13,13,12,12,12,13
04/01/2016,Lod,15,16,15,15,16,17,17,15,15
04/01/2016,Mizpe Ramon,14,13,12,14,14,14,14,13,13
04/01/2016,Nazareth,8,11,11,11,13,12,12,11,10
04/01/2016,Qazrin,8,12,12,11,12,11,12,11,10
04/01/2016,Tel Aviv,14,16,16,16,16,17,17,17,17
04/01/2016,Tiberias,13,13,13,12,14,16,16,11,10
04/01/2016,Zefat,6,11,10,9,10,8,8,11,10
05/01/2016,Afula,16,19,19,17,17,17,17,20,20
05/01/2016,Ashdod,18,19,18,17,17,18,18,17,17
05/01/2016,Beer Sheva,17,17,17,17,17,18,18,18,17
05/01/2016,Bet Shean,16,19,19,18,17,18,18,20,21
05/01/2016,Elat,22,20,20,20,20,20,20,19,19
05/01/2016,En Gedi,22,18,18,19,19,19,19,21,20
05/01/2016,Haifa,15,17,16,15,15,15,16,16,16
05/01/2016,Jerusalem,12,15,15,14,14,13,13,14,14
05/01/2016,Lod,18,17,17,16,16,18,18,17,17
05/01/2016,Mizpe Ramon,15,14,16,15,15,15,15,15,15
05/01/2016,Nazareth,12,16,16,15,14,12,14,15,15
05/01/2016,Qazrin,14,16,16,13,12,12,12,15,15
05/01/2016,Tel Aviv,17,18,18,17,17,18,17,17,17
05/01/2016,Tiberias,18,17,17,15,14,16,17,15,15
05/01/2016,Zefat,8,15,15,12,12,9,10,15,15
06/01/2016,Afula,20,20,20,18,18,18,18,20,20
06/01/2016,Ashdod,19,19,19,18,18,19,19,19,18
06/01/2016,Beer Sheva,19,19,19,19,19,19,19,20,20
06/01/2016,Bet Shean,21,20,21,19,19,18,18,22,22
06/01/2016,Elat,24,22,22,22,22,23,22,21,21
06/01/2016,En Gedi,25,19,19,19,19,19,19,22,22
06/01/2016,Haifa,17,18,18,18,18,18,19,19,18
06/01/2016,Jerusalem,14,17,17,15,16,16,14,18,17
06/01/2016,Lod,20,19,19,18,18,20,20,20,20
06/01/2016,Mizpe Ramon,17,16,18,17,17,16,16,18,18
06/01/2016,Nazareth,16,17,18,15,15,16,15,17,17
06/01/2016,Qazrin,15,17,17,15,15,15,14,16,16
06/01/2016,Tel Aviv,19,20,20,19,19,19,19,18,18
06/01/2016,Tiberias,20,18,18,16,17,18,18,17,17
06/01/2016,Zefat,10,17,17,14,14,12,12,16,16
07/01/2016,Afula,21,20,19,17,17,18,18,19,19
07/01/2016,Ashdod,20,20,20,19,19,20,19,21,21
07/01/2016,Beer Sheva,22,21,20,21,21,22,22,22,22
07/01/2016,Bet Shean,22,21,20,18,18,18,18,21,21
07/01/2016,Elat,26,23,22,22,22,22,22,23,23
07/01/2016,En Gedi,23,20,20,18,18,19,18,22,22
07/01/2016,Haifa,19,19,18,17,17,17,17,19,18
07/01/2016,Jerusalem,18,19,18,16,16,17,16,19,19
07/01/2016,Lod,22,21,21,19,19,21,21,21,21
07/01/2016,Mizpe Ramon,18,22,22,21,20,20,19,20,20
07/01/2016,Nazareth,19,19,19,15,15,16,16,16,16
07/01/2016,Qazrin,19,20,19,18,18,17,16,17,17
07/01/2016,Tel Aviv,21,21,21,19,19,20,19,19,21
07/01/2016,Tiberias,21,20,19,17,17,19,19,16,16
07/01/2016,Zefat,14,18,18,14,14,13,12,17,17
08/01/2016,Afula,18,15,14,15,17,16,15,17,17
08/01/2016,Ashdod,21,17,17,17,17,18,18,16,17
08/01/2016,Beer Sheva,23,15,16,14,15,17,16,16,16
08/01/2016,Bet Shean,18,15,15,17,17,18,17,18,18
08/01/2016,Elat,25,18,18,21,21,21,20,20,20
08/01/2016,En Gedi,22,18,18,19,20,21,21,21,21
08/01/2016,Haifa,18,15,15,17,17,15,16,16,16
08/01/2016,Jerusalem,18,12,12,11,12,11,10,11,10
08/01/2016,Lod,22,15,15,14,14,17,16,14,14
08/01/2016,Mizpe Ramon,21,15,15,14,13,13,14,14,14
08/01/2016,Nazareth,16,12,13,14,15,15,15,13,12
08/01/2016,Qazrin,18,12,12,11,11,10,11,12,12
08/01/2016,Tel Aviv,21,16,16,15,16,16,16,16,17
08/01/2016,Tiberias,20,13,13,17,17,15,16,13,12
08/01/2016,Zefat,13,12,12,12,13,10,10,12,12
09/01/2016,Afula,16,17,16,17,17,19,18,20,20
09/01/2016,Ashdod,18,17,17,18,18,18,19,18,17
09/01/2016,Beer Sheva,16,16,16,16,16,18,18,17,17
09/01/2016,Bet Shean,19,17,16,18,19,20,20,20,20
09/01/2016,Elat,22,18,18,20,20,22,20,19,19
09/01/2016,En Gedi,23,17,16,21,21,20,21,22,21
09/01/2016,Haifa,15,16,15,17,17,17,17,17,17
