,Validity_date,City,Persist_value_humidity,EC_humidity_1,EC_humidity_2,C3_humidity_1,C3_humidity_2,Persist_value_maxTemp,EC_maxTemp_1,EC_maxTemp_2,CO_maxTemp_1,CO_maxTemp_2,C3_maxTemp_1,C3_maxTemp_2,OH_maxTemp_1,OH_maxTemp_2,Persist_value_minTemp,EC_minTemp_1,EC_minTemp_2,CO_minTemp_1,CO_minTemp_2,C3_minTemp_1,C3_minTemp_2,OH_minTemp_1,OH_minTemp_2,Persist_value_wind,EC_wind_1,EC_wind_2,CO_wind_1,CO_wind_2,C3_wind_1,C3_wind_2,OH_wind_1,OH_wind_2
0,2016-01-02,Afula,73,60.0,52,37.0,35,12,11.0,12,11.0,12.0,12.0,12.0,13.0,13.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,6.0,5.0,27,9.0,8,6.0,7.0,5.0,10.0,11.0,12.0
1,2016-01-02,Ashdod,82,64.0,61,46.0,44,15,14.0,13,12.0,13.0,14.0,14.0,14.0,14.0,10.0,10.0,10.0,12.0,9.0,13.0,11.0,10.0,10.0,26,14.0,13,11.0,10.0,16.0,9.0,13.0,13.0
2,2016-01-02,Beer Sheva,86,75.0,77,42.0,39,10,10.0,10,11.0,10.0,12.0,12.0,9.0,9.0,5.0,5.0,4.0,4.0,5.0,6.0,6.0,5.0,6.0,16,10.0,8,11.0,12.0,7.0,15.0,9.0,9.0
3,2016-01-02,Bet Shean,80,68.0,62,38.0,34,15,11.0,12,14.0,14.0,14.0,14.0,13.0,13.0,8.0,6.0,7.0,9.0,7.0,8.0,8.0,4.0,5.0,23,3.0,3,5.0,4.0,7.0,6.0,11.0,9.0
4,2016-01-02,Elat,40,42.0,40,27.0,26,19,12.0,12,14.0,14.0,15.0,15.0,13.0,12.0,9.0,4.0,4.0,8.0,7.0,7.0,7.0,6.0,7.0,7,7.0,7,6.0,7.0,7.0,7.0,7.0,6.0
5,2016-01-02,En Gedi,52,62.0,62,40.0,39,17,13.0,13,13.0,14.0,15.0,15.0,15.0,14.0,11.0,8.0,8.0,11.0,12.0,11.0,11.0,11.0,10.0,19,9.0,9,7.0,4.0,13.0,10.0,13.0,11.0
6,2016-01-02,Haifa,77,60.0,57,45.0,46,10,11.0,11,11.0,11.0,11.0,11.0,10.0,10.0,6.0,7.0,7.0,9.0,8.0,9.0,8.0,8.0,9.0,19,11.0,10,13.0,13.0,11.0,13.0,13.0,18.0
7,2016-01-02,Jerusalem,93,71.0,64,43.0,41,5,8.0,8,8.0,7.0,8.0,8.0,7.0,8.0,1.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,21,10.0,9,10.0,6.0,8.0,8.0,13.0,12.0
8,2016-01-02,Lod,69,62.0,57,38.0,38,13,12.0,12,10.0,10.0,13.0,13.0,10.0,10.0,8.0,6.0,6.0,8.0,7.0,8.0,8.0,7.0,7.0,16,9.0,9,5.0,5.0,5.0,7.0,9.0,7.0
9,2016-01-02,Mizpe Ramon,59,63.0,60,39.0,41,8,7.0,7,9.0,9.0,9.0,9.0,8.0,7.0,2.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,14,10.0,10,10.0,9.0,12.0,11.0,10.0,9.0
10,2016-01-02,Nazareth,80,64.0,67,33.0,35,8,9.0,10,9.0,9.0,11.0,11.0,7.0,6.0,4.0,5.0,5.0,5.0,4.0,6.0,6.0,3.0,3.0,28,10.0,8,7.0,10.0,13.0,10.0,10.0,12.0
11,2016-01-02,Qazrin,84,60.0,65,44.0,36,8,8.0,9,9.0,10.0,9.0,9.0,7.0,6.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,19,11.0,11,8.0,10.0,9.0,11.0,14.0,10.0
12,2016-01-02,Tel Aviv,77,59.0,58,38.0,42,13,13.0,13,10.0,10.0,13.0,13.0,10.0,13.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,7.0,7.0,21,8.0,9,4.0,6.0,6.0,5.0,6.0,7.0
13,2016-01-02,Tiberias,56,55.0,58,38.0,34,14,10.0,11,12.0,13.0,14.0,15.0,7.0,6.0,8.0,6.0,6.0,7.0,9.0,7.0,6.0,3.0,3.0,17,7.0,6,6.0,7.0,5.0,5.0,12.0,10.0
14,2016-01-02,Zefat,98,59.0,65,46.0,44,3,8.0,9,8.0,8.0,6.0,6.0,7.0,6.0,-1.0,2.0,2.0,3.0,3.0,1.0,0.0,2.0,2.0,41,8.0,7,9.0,8.0,10.0,14.0,12.0,11.0
15,2016-01-03,Afula,70,78.0,68,49.0,51,11,11.0,12,11.0,12.0,14.0,13.0,13.0,14.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,6,8.0,9,5.0,4.0,9.0,8.0,12.0,14.0
16,2016-01-03,Ashdod,73,67.0,61,54.0,51,15,16.0,16,15.0,14.0,16.0,16.0,17.0,17.0,10.0,12.0,12.0,9.0,10.0,10.0,12.0,10.0,10.0,13,23.0,22,21.0,22.0,22.0,20.0,21.0,21.0
17,2016-01-03,Beer Sheva,84,58.0,53,33.0,35,10,14.0,13,12.0,13.0,14.0,14.0,15.0,14.0,5.0,7.0,6.0,7.0,7.0,7.0,7.0,5.0,6.0,11,10.0,10,8.0,9.0,12.0,10.0,11.0,9.0
18,2016-01-03,Bet Shean,82,63.0,58,41.0,39,12,13.0,13,11.0,12.0,14.0,14.0,14.0,15.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,10,8.0,8,2.0,4.0,15.0,19.0,12.0,10.0
19,2016-01-03,Elat,35,36.0,31,30.0,24,17,17.0,16,17.0,17.0,18.0,17.0,16.0,16.0,9.0,4.0,4.0,7.0,7.0,6.0,7.0,6.0,7.0,5,4.0,5,7.0,8.0,4.0,5.0,1.0,2.0
20,2016-01-03,En Gedi,57,58.0,51,39.0,42,16,15.0,16,17.0,17.0,17.0,17.0,18.0,18.0,11.0,9.0,8.0,12.0,13.0,10.0,11.0,11.0,11.0,18,7.0,8,10.0,6.0,10.0,12.0,11.0,10.0
21,2016-01-03,Haifa,67,88.0,86,89.0,71,10,14.0,13,11.0,11.0,13.0,12.0,14.0,13.0,6.0,7.0,8.0,8.0,7.0,8.0,7.0,10.0,10.0,10,15.0,14,12.0,17.0,20.0,21.0,19.0,20.0
22,2016-01-03,Jerusalem,92,71.0,69,62.0,63,5,10.0,11,9.0,9.0,8.0,8.0,10.0,10.0,1.0,4.0,4.0,5.0,6.0,5.0,4.0,6.0,5.0,10,9.0,9,13.0,13.0,15.0,19.0,10.0,9.0
23,2016-01-03,Lod,79,66.0,62,44.0,48,13,13.0,13,12.0,12.0,14.0,13.0,11.0,12.0,8.0,7.0,7.0,7.0,8.0,9.0,8.0,7.0,7.0,9,12.0,12,13.0,11.0,14.0,15.0,10.0,9.0
24,2016-01-03,Mizpe Ramon,67,52.0,47,39.0,45,8,12.0,11,12.0,12.0,13.0,12.0,12.0,12.0,2.0,3.0,2.0,5.0,5.0,4.0,5.0,3.0,4.0,10,9.0,8,8.0,7.0,11.0,10.0,7.0,6.0
25,2016-01-03,Nazareth,63,97.0,92,75.0,70,9,8.0,10,7.0,8.0,9.0,9.0,8.0,9.0,4.0,5.0,5.0,6.0,5.0,6.0,6.0,4.0,4.0,16,8.0,8,5.0,6.0,12.0,11.0,10.0,10.0
26,2016-01-03,Qazrin,90,83.0,91,71.0,61,8,9.0,9,8.0,8.0,8.0,9.0,8.0,8.0,3.0,6.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,8,10.0,10,2.0,3.0,8.0,13.0,4.0,4.0
27,2016-01-03,Tel Aviv,64,75.0,73,59.0,47,14,14.0,14,12.0,13.0,14.0,13.0,16.0,16.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,8.0,11,13.0,11,10.0,8.0,10.0,11.0,11.0,8.0
28,2016-01-03,Tiberias,73,80.0,79,67.0,57,13,10.0,10,9.0,10.0,13.0,15.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,11.0,8.0,4.0,4.0,12,5.0,5,3.0,3.0,6.0,16.0,3.0,4.0
29,2016-01-03,Zefat,88,93.0,90,83.0,80,3,8.0,8,6.0,7.0,7.0,6.0,8.0,8.0,-1.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,14,6.0,5,3.0,2.0,12.0,13.0,3.0,6.0
30,2016-01-04,Afula,82,63.0,74,66.0,58,15,14.0,14,16.0,16.0,14.0,16.0,17.0,14.0,7.0,9.0,5.0,8.0,10.0,9.0,11.0,10.0,8.0,15,6.0,7,4.0,10.0,8.0,7.0,12.0,15.0
31,2016-01-04,Ashdod,78,64.0,65,60.0,60,17,18.0,17,16.0,16.0,17.0,17.0,17.0,17.0,10.0,13.0,13.0,11.0,13.0,13.0,13.0,13.0,12.0,22,16.0,17,17.0,17.0,16.0,17.0,15.0,17.0
32,2016-01-04,Beer Sheva,54,59.0,59,44.0,44,15,16.0,15,15.0,16.0,17.0,17.0,16.0,16.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,11,8.0,9,8.0,8.0,9.0,9.0,8.0,10.0
33,2016-01-04,Bet Shean,68,61.0,63,47.0,44,13,16.0,16,15.0,16.0,17.0,18.0,18.0,18.0,9.0,10.0,8.0,8.0,10.0,11.0,11.0,12.0,11.0,18,5.0,4,2.0,2.0,8.0,11.0,12.0,6.0
34,2016-01-04,Elat,26,38.0,39,32.0,33,22,18.0,18,19.0,20.0,20.0,20.0,17.0,17.0,6.0,7.0,7.0,9.0,10.0,9.0,9.0,8.0,8.0,5,5.0,5,7.0,5.0,11.0,10.0,2.0,4.0
35,2016-01-04,En Gedi,31,61.0,61,49.0,45,22,17.0,17,18.0,19.0,18.0,18.0,19.0,19.0,12.0,10.0,11.0,14.0,15.0,14.0,12.0,14.0,14.0,17,6.0,7,7.0,6.0,11.0,10.0,8.0,10.0
36,2016-01-04,Haifa,90,75.0,81,69.0,70,13,15.0,14,14.0,15.0,15.0,15.0,14.0,15.0,8.0,9.0,8.0,9.0,10.0,11.0,10.0,12.0,8.0,14,12.0,13,18.0,20.0,14.0,15.0,19.0,21.0
37,2016-01-04,Jerusalem,77,61.0,63,61.0,59,9,13.0,13,13.0,13.0,12.0,12.0,12.0,13.0,4.0,8.0,8.0,7.0,8.0,7.0,7.0,9.0,8.0,12,8.0,8,10.0,11.0,11.0,10.0,7.0,10.0
38,2016-01-04,Lod,73,62.0,62,48.0,48,15,16.0,15,15.0,16.0,17.0,17.0,15.0,15.0,9.0,10.0,10.0,10.0,11.0,12.0,12.0,11.0,9.0,12,10.0,10,10.0,10.0,11.0,11.0,10.0,11.0
39,2016-01-04,Mizpe Ramon,52,48.0,58,51.0,49,14,13.0,12,14.0,14.0,14.0,14.0,13.0,13.0,3.0,6.0,4.0,6.0,7.0,7.0,6.0,7.0,7.0,11,8.0,9,7.0,7.0,8.0,7.0,6.0,9.0
40,2016-01-04,Nazareth,97,90.0,96,68.0,68,8,11.0,11,11.0,13.0,12.0,12.0,11.0,10.0,6.0,7.0,6.0,7.0,8.0,8.0,9.0,7.0,6.0,10,6.0,7,5.0,6.0,10.0,9.0,13.0,8.0
41,2016-01-04,Qazrin,84,75.0,87,78.0,75,8,12.0,12,11.0,12.0,11.0,12.0,11.0,10.0,6.0,6.0,6.0,6.0,8.0,8.0,9.0,7.0,5.0,11,7.0,7,3.0,3.0,6.0,6.0,9.0,4.0
42,2016-01-04,Tel Aviv,93,64.0,65,53.0,54,14,16.0,16,16.0,16.0,17.0,17.0,17.0,17.0,8.0,11.0,10.0,9.0,10.0,11.0,11.0,11.0,9.0,13,11.0,11,10.0,11.0,9.0,9.0,10.0,10.0
43,2016-01-04,Tiberias,84,75.0,79,66.0,69,13,13.0,13,12.0,14.0,16.0,16.0,11.0,10.0,9.0,9.0,8.0,9.0,12.0,13.0,11.0,7.0,6.0,9,3.0,3,2.0,3.0,4.0,3.0,9.0,6.0
44,2016-01-04,Zefat,99,83.0,89,80.0,82,6,11.0,10,9.0,10.0,8.0,8.0,11.0,10.0,2.0,5.0,5.0,6.0,7.0,6.0,6.0,7.0,5.0,20,4.0,4,4.0,5.0,10.0,11.0,7.0,3.0
45,2016-01-05,Afula,84,43.0,48,57.0,49,16,19.0,19,17.0,17.0,17.0,17.0,20.0,20.0,6.0,8.0,11.0,11.0,10.0,9.0,9.0,12.0,12.0,14,9.0,9,9.0,8.0,6.0,6.0,14.0,13.0
46,2016-01-05,Ashdod,68,48.0,53,53.0,55,18,19.0,18,17.0,17.0,18.0,18.0,17.0,17.0,13.0,14.0,14.0,11.0,12.0,13.0,13.0,13.0,13.0,17,17.0,17,17.0,17.0,15.0,15.0,17.0,17.0
47,2016-01-05,Beer Sheva,50,43.0,43,31.0,32,17,17.0,17,17.0,17.0,18.0,18.0,18.0,17.0,8.0,7.0,7.0,9.0,9.0,10.0,10.0,10.0,9.0,9,8.0,8,8.0,8.0,9.0,9.0,8.0,8.0
