Time,Basis_date,Validity_date,City,Persist_value_minTemp,EC_minTemp,CO_minTemp,C3_minTemp,OH_minTemp
1,02/01/2016,02/01/2016,Afula,6,7,6,6,7
2,01/01/2016,02/01/2016,Afula,6,6,7,7,7
1,02/01/2016,02/01/2016,Ashdod,10,12,9,10,10
2,01/01/2016,02/01/2016,Ashdod,10,12,10,12,10
1,02/01/2016,02/01/2016,Beer Sheva,5,7,7,7,5
2,01/01/2016,02/01/2016,Beer Sheva,5,6,7,7,6
1,02/01/2016,02/01/2016,Bet Shean,8,8,7,8,7
2,01/01/2016,02/01/2016,Bet Shean,8,8,7,8,7
1,02/01/2016,02/01/2016,Elat,9,4,7,6,6
2,01/01/2016,02/01/2016,Elat,9,4,7,7,7
1,02/01/2016,02/01/2016,En Gedi,11,9,12,10,11
2,01/01/2016,02/01/2016,En Gedi,11,8,13,11,11
1,02/01/2016,02/01/2016,Haifa,6,7,8,8,10
2,01/01/2016,02/01/2016,Haifa,6,8,7,7,10
1,02/01/2016,02/01/2016,Jerusalem,1,4,5,5,6
2,01/01/2016,02/01/2016,Jerusalem,1,4,6,4,5
1,02/01/2016,02/01/2016,Lod,8,7,7,9,7
2,01/01/2016,02/01/2016,Lod,8,7,8,8,7
1,02/01/2016,02/01/2016,Mizpe Ramon,2,3,5,4,3
2,01/01/2016,02/01/2016,Mizpe Ramon,2,2,5,5,4
1,02/01/2016,02/01/2016,Nazareth,4,5,6,6,4
2,01/01/2016,02/01/2016,Nazareth,4,5,5,6,4
1,02/01/2016,02/01/2016,Qazrin,3,6,5,5,4
2,01/01/2016,02/01/2016,Qazrin,3,5,4,5,4
1,02/01/2016,02/01/2016,Tel Aviv,8,8,7,7,7
2,01/01/2016,02/01/2016,Tel Aviv,8,8,7,8,8
1,02/01/2016,02/01/2016,Tiberias,8,8,8,11,4
2,01/01/2016,02/01/2016,Tiberias,8,8,8,8,4
1,02/01/2016,02/01/2016,Zefat,-1,4,4,2,4
2,01/01/2016,02/01/2016,Zefat,-1,4,4,2,4
1,03/01/2016,03/01/2016,Afula,7,9,8,9,10
2,02/01/2016,03/01/2016,Afula,7,5,10,11,8
1,03/01/2016,03/01/2016,Ashdod,10,13,11,13,13
2,02/01/2016,03/01/2016,Ashdod,10,13,13,13,12
1,03/01/2016,03/01/2016,Beer Sheva,7,8,8,9,9
2,02/01/2016,03/01/2016,Beer Sheva,7,8,9,9,9
1,03/01/2016,03/01/2016,Bet Shean,9,10,8,11,12
2,02/01/2016,03/01/2016,Bet Shean,9,8,10,11,11
1,03/01/2016,03/01/2016,Elat,6,7,9,9,8
2,02/01/2016,03/01/2016,Elat,6,7,10,9,8
1,03/01/2016,03/01/2016,En Gedi,12,10,14,14,14
2,02/01/2016,03/01/2016,En Gedi,12,11,15,12,14
1,03/01/2016,03/01/2016,Haifa,8,9,9,11,12
2,02/01/2016,03/01/2016,Haifa,8,8,10,10,8
1,03/01/2016,03/01/2016,Jerusalem,4,8,7,7,9
