Validity_date,City,Persist_value_minTemp,EC_minTemp_1,EC_minTemp_2,CO_minTemp_1,CO_minTemp_2,C3_minTemp_1,C3_minTemp_2,OH_minTemp_1,OH_minTemp_2
02/01/2016,Afula,6,6,5,6,7,7,7,6,5
02/01/2016,Ashdod,10,10,10,12,9,13,11,10,10
02/01/2016,Beer Sheva,5,5,4,4,5,6,6,5,6
02/01/2016,Bet Shean,8,6,7,9,7,8,8,4,5
02/01/2016,Elat,9,4,4,8,7,7,7,6,7
02/01/2016,En Gedi,11,8,8,11,12,11,11,11,10
02/01/2016,Haifa,6,7,7,9,8,9,8,8,9
02/01/2016,Jerusalem,1,4,3,5,3,3,4,4,4
02/01/2016,Lod,8,6,6,8,7,8,8,7,7
02/01/2016,Mizpe Ramon,2,5,5,4,3,2,2,2,3
02/01/2016,Nazareth,4,5,5,5,4,6,6,3,3
02/01/2016,Qazrin,3,4,4,3,3,3,2,2,2
02/01/2016,Tel Aviv,8,8,8,10,8,8,8,7,7
02/01/2016,Tiberias,8,6,6,7,9,7,6,3,3
02/01/2016,Zefat,-1,2,2,3,3,1,0,2,2
03/01/2016,Afula,6,7,6,6,7,6,7,7,7
03/01/2016,Ashdod,10,12,12,9,10,10,12,10,10
03/01/2016,Beer Sheva,5,7,6,7,7,7,7,5,6
03/01/2016,Bet Shean,8,8,8,7,7,8,8,7,7
03/01/2016,Elat,9,4,4,7,7,6,7,6,7
03/01/2016,En Gedi,11,9,8,12,13,10,11,11,11
03/01/2016,Haifa,6,7,8,8,7,8,7,10,10
03/01/2016,Jerusalem,1,4,4,5,6,5,4,6,5
03/01/2016,Lod,8,7,7,7,8,9,8,7,7
03/01/2016,Mizpe Ramon,2,3,2,5,5,4,5,3,4
03/01/2016,Nazareth,4,5,5,6,5,6,6,4,4
03/01/2016,Qazrin,3,6,5,5,4,5,5,4,4
03/01/2016,Tel Aviv,8,8,8,7,7,7,8,7,8
03/01/2016,Tiberias,8,8,8,8,8,11,8,4,4
03/01/2016,Zefat,-1,4,4,4,4,2,2,4,4
04/01/2016,Afula,7,9,5,8,10,9,11,10,8
04/01/2016,Ashdod,10,13,13,11,13,13,13,13,12
04/01/2016,Beer Sheva,7,8,8,8,9,9,9,9,9
04/01/2016,Bet Shean,9,10,8,8,10,11,11,12,11
04/01/2016,Elat,6,7,7,9,10,9,9,8,8
04/01/2016,En Gedi,12,10,11,14,15,14,12,14,14
04/01/2016,Haifa,8,9,8,9,10,11,10,12,8
04/01/2016,Jerusalem,4,8,8,7,8,7,7,9,8
04/01/2016,Lod,9,10,10,10,11,12,12,11,9
04/01/2016,Mizpe Ramon,3,6,4,6,7,7,6,7,7
04/01/2016,Nazareth,6,7,6,7,8,8,9,7,6
04/01/2016,Qazrin,6,6,6,6,8,8,9,7,5
04/01/2016,Tel Aviv,8,11,10,9,10,11,11,11,9
04/01/2016,Tiberias,9,9,8,9,12,13,11,7,6
04/01/2016,Zefat,2,5,5,6,7,6,6,7,5
05/01/2016,Afula,6,8,11,11,10,9,9,12,12
05/01/2016,Ashdod,13,14,14,11,12,13,13,13,13
05/01/2016,Beer Sheva,8,7,7,9,9,10,10,10,9
05/01/2016,Bet Shean,6,10,11,11,11,9,11,14,12
05/01/2016,Elat,10,9,9,11,11,10,11,9,10
05/01/2016,En Gedi,16,9,9,14,14,15,15,14,14
05/01/2016,Haifa,9,12,12,11,12,12,11,13,13
05/01/2016,Jerusalem,7,7,8,8,9,9,8,9,9
05/01/2016,Lod,10,10,11,10,11,11,11,11,11
05/01/2016,Mizpe Ramon,7,5,6,9,8,8,8,8,8
05/01/2016,Nazareth,8,10,10,10,9,9,9,10,9
05/01/2016,Qazrin,6,8,8,8,9,8,9,9,9
05/01/2016,Tel Aviv,11,11,11,10,9,10,10,11,11
05/01/2016,Tiberias,10,10,10,11,12,14,11,10,9
05/01/2016,Zefat,4,8,8,8,8,5,6,9,9
06/01/2016,Afula,10,9,9,10,10,9,9,12,12
06/01/2016,Ashdod,14,14,14,14,14,14,14,13,14
06/01/2016,Beer Sheva,7,9,9,10,11,12,12,10,10
06/01/2016,Bet Shean,12,10,10,10,11,10,10,12,14
06/01/2016,Elat,11,10,10,12,13,11,12,10,15
06/01/2016,En Gedi,14,10,10,15,14,13,13,15,15
06/01/2016,Haifa,13,12,12,11,12,13,12,13,13
06/01/2016,Jerusalem,9,8,8,10,10,8,9,11,11
06/01/2016,Lod,12,11,11,13,13,12,12,11,12
06/01/2016,Mizpe Ramon,9,7,7,10,10,10,10,9,10
06/01/2016,Nazareth,11,10,10,9,9,9,9,10,10
06/01/2016,Qazrin,10,7,8,8,9,9,9,8,9
06/01/2016,Tel Aviv,13,11,11,11,11,11,10,11,12
06/01/2016,Tiberias,13,10,10,11,12,11,11,10,11
06/01/2016,Zefat,7,8,7,8,8,8,8,8,9
07/01/2016,Afula,6,8,9,12,11,9,10,11,12
07/01/2016,Ashdod,13,15,15,14,14,15,14,15,12
07/01/2016,Beer Sheva,6,11,10,12,12,12,13,11,11
07/01/2016,Bet Shean,8,10,10,10,10,10,11,11,12
07/01/2016,Elat,11,10,9,14,14,11,14,13,12
