Validity_date,City,Persist_value_wind,EC_wind_1,EC_wind_2,CO_wind_1,CO_wind_2,C3_wind_1,C3_wind_2,OH_wind_1,OH_wind_2
02/01/2016,Afula,27,9,8,6,7,5,10,11,12
02/01/2016,Ashdod,26,14,13,11,10,16,9,13,13
02/01/2016,Beer Sheva,16,10,8,11,12,7,15,9,9
02/01/2016,Bet Shean,23,3,3,5,4,7,6,11,9
02/01/2016,Elat,7,7,7,6,7,7,7,7,6
02/01/2016,En Gedi,19,9,9,7,4,13,10,13,11
02/01/2016,Haifa,19,11,10,13,13,11,13,13,18
02/01/2016,Jerusalem,21,10,9,10,6,8,8,13,12
02/01/2016,Lod,16,9,9,5,5,5,7,9,7
02/01/2016,Mizpe Ramon,14,10,10,10,9,12,11,10,9
02/01/2016,Nazareth,28,10,8,7,10,13,10,10,12
02/01/2016,Qazrin,19,11,11,8,10,9,11,14,10
02/01/2016,Tel Aviv,21,8,9,4,6,6,5,6,7
02/01/2016,Tiberias,17,7,6,6,7,5,5,12,10
02/01/2016,Zefat,41,8,7,9,8,10,14,12,11
03/01/2016,Afula,6,8,9,5,4,9,8,12,14
03/01/2016,Ashdod,13,23,22,21,22,22,20,21,21
03/01/2016,Beer Sheva,11,10,10,8,9,12,10,11,9
03/01/2016,Bet Shean,10,8,8,2,4,15,19,12,10
03/01/2016,Elat,5,4,5,7,8,4,5,1,2
03/01/2016,En Gedi,18,7,8,10,6,10,12,11,10
03/01/2016,Haifa,10,15,14,12,17,20,21,19,20
03/01/2016,Jerusalem,10,9,9,13,13,15,19,10,9
03/01/2016,Lod,9,12,12,13,11,14,15,10,9
03/01/2016,Mizpe Ramon,10,9,8,8,7,11,10,7,6
03/01/2016,Nazareth,16,8,8,5,6,12,11,10,10
03/01/2016,Qazrin,8,10,10,2,3,8,13,4,4
03/01/2016,Tel Aviv,11,13,11,10,8,10,11,11,8
03/01/2016,Tiberias,12,5,5,3,3,6,16,3,4
03/01/2016,Zefat,14,6,5,3,2,12,13,3,6
04/01/2016,Afula,15,6,7,4,10,8,7,12,15
04/01/2016,Ashdod,22,16,17,17,17,16,17,15,17
04/01/2016,Beer Sheva,11,8,9,8,8,9,9,8,10
04/01/2016,Bet Shean,18,5,4,2,2,8,11,12,6
04/01/2016,Elat,5,5,5,7,5,11,10,2,4
04/01/2016,En Gedi,17,6,7,7,6,11,10,8,10
04/01/2016,Haifa,14,12,13,18,20,14,15,19,21
04/01/2016,Jerusalem,12,8,8,10,11,11,10,7,10
04/01/2016,Lod,12,10,10,10,10,11,11,10,11
04/01/2016,Mizpe Ramon,11,8,9,7,7,8,7,6,9
04/01/2016,Nazareth,10,6,7,5,6,10,9,13,8
04/01/2016,Qazrin,11,7,7,3,3,6,6,9,4
04/01/2016,Tel Aviv,13,11,11,10,11,9,9,10,10
04/01/2016,Tiberias,9,3,3,2,3,4,3,9,6
04/01/2016,Zefat,20,4,4,4,5,10,11,7,3
05/01/2016,Afula,14,9,9,9,8,6,6,14,13
05/01/2016,Ashdod,17,17,17,17,17,15,15,17,17
05/01/2016,Beer Sheva,9,8,8,8,8,9,9,8,8
05/01/2016,Bet Shean,13,7,7,9,5,12,12,13,13
05/01/2016,Elat,5,4,4,4,5,5,5,4,2
05/01/2016,En Gedi,8,7,8,6,9,10,9,10,10
05/01/2016,Haifa,13,12,12,18,18,16,16,20,19
05/01/2016,Jerusalem,8,8,9,10,10,12,14,10,10
05/01/2016,Lod,10,9,9,9,9,11,11,10,10
05/01/2016,Mizpe Ramon,7,8,7,6,6,9,9,6,7
05/01/2016,Nazareth,12,8,9,7,6,8,9,12,12
05/01/2016,Qazrin,10,10,11,4,4,4,5,11,13
05/01/2016,Tel Aviv,9,10,11,9,10,8,9,11,11
05/01/2016,Tiberias,5,5,6,3,4,6,6,11,11
05/01/2016,Zefat,17,6,7,5,5,8,9,11,11
06/01/2016,Afula,13,3,3,3,3,8,8,4,7
06/01/2016,Ashdod,17,13,13,13,12,10,10,12,12
06/01/2016,Beer Sheva,10,5,4,6,5,7,7,4,4
06/01/2016,Bet Shean,18,4,3,3,2,4,3,5,7
06/01/2016,Elat,5,6,7,9,9,10,11,9,7
06/01/2016,En Gedi,14,5,5,3,3,10,10,5,4
06/01/2016,Haifa,12,8,8,9,8,10,10,12,12
06/01/2016,Jerusalem,11,5,5,3,3,7,5,4,4
06/01/2016,Lod,9,6,6,5,5,7,7,5,5
06/01/2016,Mizpe Ramon,7,4,5,3,3,8,6,3,3
06/01/2016,Nazareth,12,4,5,4,3,8,9,7,7
06/01/2016,Qazrin,10,8,8,4,4,9,9,5,9
06/01/2016,Tel Aviv,12,7,6,5,5,5,6,5,6
06/01/2016,Tiberias,6,3,3,3,3,5,4,4,3
06/01/2016,Zefat,22,3,3,2,4,5,5,4,3
07/01/2016,Afula,10,5,5,5,5,10,10,7,16
07/01/2016,Ashdod,13,22,20,14,11,13,10,25,26
07/01/2016,Beer Sheva,4,7,7,9,9,11,11,10,10
07/01/2016,Bet Shean,10,3,3,2,2,5,6,11,16
07/01/2016,Elat,6,9,8,10,10,17,10,13,13
07/01/2016,En Gedi,9,5,5,3,3,6,3,19,22
07/01/2016,Haifa,8,10,10,12,9,14,15,15,17
07/01/2016,Jerusalem,7,10,8,7,4,14,11,18,21
07/01/2016,Lod,6,10,8,7,5,7,8,9,11
